"Quel est l'impératif du verbe peindre à la 2e personne du pluriel ?";Peignez;;;;rep1
"Dans quelle ville se déroule chaque année le Festival interceltique ?";;Lorient;;;rep2
"De quel pays Tirana est-elle la capitale ?";;;L'Albanie;;rep3
"Quel nom rime avec Paul-Loup Sulitzer dans ""Foule sentimentale"" de Souchon ?";;;"Claudia Schiffer";;rep3
"Dans quel jeu télévisé intervenaient Barjabule et Mironton ?";;;;Pyramide;rep4
"A quel pape a succédé Jean-Paul II ?";;"Jean-Paul Ier";;;rep2
"Comment se prénommait la soeur, sculptrice, de Paul Claudel ?";;;;Camille;rep4
"Quel conseil régional est présidé par Ségolène Royal depuis 2004 ?";Poitou-Charentes;;;;rep1
"Avec quel chanteur Carole Fredericks & Michael Jones ont-il formé un trio ?";;;"J.-J. Goldman";;rep3
"A quel écrivain doit-on le personnage de Boule-de-Suif ?";"Jules Lemaître";"Guy de Maupassant";"Georges Ancey";"Arthur Buies";rep2
